"Calendar Year","Number of Species Listings"
"2025","2"
"2024","16"
"2023","26"
"2022","7"
"2021","10"
"2020","4"
"2019","4"
"2018","5"
"2017","9"
"2016","73"
"2015","27"
"2014","36"
"2013","83"
"2012","44"
"2011","11"
"2010","54"
"2009","6"
"2008","2"
"2006","12"
"2005","7"
"2004","8"
"2003","2"
"2002","11"
"2001","10"
"2000","40"
"1999","23"
"1998","56"
"1997","78"
"1996","91"
"1995","18"
"1994","128"
"1993","67"
"1992","79"
"1991","80"
"1990","38"
"1989","32"
"1988","47"
"1987","60"
"1986","36"
"1985","59"
"1984","32"
"1983","7"
"1982","11"
"1981","4"
"1980","16"
"1979","37"
"1978","42"
"1977","21"
"1976","35"
"1975","11"
"1973","7"
"1972","3"
"1970","44"
"1967","70"
"1968","0"
"1969","0"
"1971","0"
"1974","0"
"2007","0"